Skill1,Skill2,Similarity
accompany people,travel with people,1
accompany people,accompanying people,1
accompany people,company policies,0
accompany people,make decision,0
maintain relationships with stakeholders,promoting company values,1
maintain relationships with stakeholders,stakeholder relationship maintenance,1
maintain relationships with stakeholders,maintaining of relationships with stakeholders,1
maintain relationships with stakeholders,promote company values,1
maintain relationships with stakeholders,maintaining relationships with stakeholders,1
maintain relationships with stakeholders,communicate with mining stakeholders,1
maintain relationships with stakeholders,communication with mining stakeholders,1
maintain relationships with stakeholders,communicating with mining stakeholders,1
maintain relationships with stakeholders,maintenance of relationships with stakeholders,1
manage the customer experience,manage customer experience,1
manage the customer experience,contribute to a customer experience,1
manage the customer experience,customer experience management,1
manage the customer experience,manage customers' experience,1
define organisational standards,define organisational standard,1
define organisational standards,define standards for the organisation,1
define organisational standards,set organisational standards,1
define organisational standards,write up organisational standards,1
define organisational standards,defining organisational standards,1
interpret 2d plans,interpretation of 2D drawings,1
interpret 2d plans,interpretation of 2D plans,1
interpret 2d plans,2D drawing interpretation,1
interpret 2d plans,interpret 2D drawings,1
interpret 2d plans,interpreting of 2D plans,1
interpret 2d plans,interpreting 2D drawings,1
interpret 2d plans,interpreting 2D plans,1
interpret 2d plans,2D plan interpretation,1
write occitan,writing Occitan,1
write occitan,correspond in written Languedoc,1
write occitan,show competency in written Occitan,1
write occitan,correspond in written Occitan,1
make foundations for derricks,making foundations for derricks,1
make foundations for derricks,making of derrick foundations,1
make foundations for derricks,assemble derrick foundation,1
make foundations for derricks,assembling derrick foundation,1
make foundations for derricks,assembly of derrick foundation,1
make foundations for derricks,derrick foundation assembly,1
make foundations for derricks,making of foundations for derricks,1
make foundations for derricks,derrick foundation making,1
make foundations for derricks,assembling of derrick foundation,1
make foundations for derricks,prospecting new regional contracts,0
monitor geotechnical structures,make continuous observations of railway geotechnical structures,1
monitor geotechnical structures,observe geotechnical structures,1
monitor geotechnical structures,perform ongoing assessments of the performance of railway geotechnical structures,1
monitor geotechnical structures,monitor performance of geotechnical structures,1
monitor geotechnical structures,perform railway geotechnical structure monitoring activities,1
monitor geotechnical structures,analyse geotechnical structures,1
monitor geotechnical structures,track performance of geotechnical structures,1
monitor geotechnical structures,make continuous observations of the performance of railway geotechnical structures,1
monitor geotechnical structures,assess geotechnical structures,1
monitor geotechnical structures,undertake monitoring of railway geotechnical structures,1
monitor geotechnical structures,monitor correctional procedures,0
neurophysiology of animals,animal neuro-physiology,1
neurophysiology of animals,animal neurophysiology,1
neurophysiology of animals,neuro-physiology and neuro-anatomy of animals,1
neurophysiology of animals,neurophysiology of an animal,1
neurophysiology of animals,neuro-physiology of animals,1
neurophysiology of animals,study of the nervous sysetm functionalities of animals,1
neurophysiology of animals,study of animal neurophysiology,1
neurophysiology of animals,physiology of animals,0
neurophysiology of animals,animal physiology,0
manage corporate bank accounts,manage corporate bank account,1
manage corporate bank accounts,manage corporation bank accounts,1
manage corporate bank accounts,oversee corporate bank accounts,1
manage corporate bank accounts,maintain corporate bank accounts,1
manage corporate bank accounts,managing corporate bank accounts,1
drill holes in tile,cutting of holes in tiles,1
drill holes in tile,cutting holes in tile,1
drill holes in tile,drilling holes in tile,1
drill holes in tile,cut holes in tile,1
drill holes in tile,cutting holes in tiles,1
drill holes in tile,drilling of holes in tiles,1
drill holes in tile,cut holes in tiles,1
drill holes in tile,drilling of holes in tile,1
drill holes in tile,drill holes in tiles,1
drill holes in tile,cutting of holes in tile,1
drill holes in tile,drilling holes in tiles,1
drill holes in tile,preparing drill holes,0
drill holes in tile,prepare drill holes,0
drill holes in tile,coordinate equipment repairs,0
specialise in conservation-restoration of specific types of objects,specialise in specific objects' restoration and conservation,1
specialise in conservation-restoration of specific types of objects,specialise in conservation of particular items,1
specialise in conservation-restoration of specific types of objects,specialise in specific types of conservation and restoration of objects,1
specialise in conservation-restoration of specific types of objects,learn restoration methods of specific types of objects,1
create content title,,1
create content title,create lesson content,0
create content title,identify goals,0
put up signs,use sign-erecting tools,1
put up signs,using tools to put up signs,1
put up signs,putting up signs,1
put up signs,using sign-erecting tools,1
put up signs,erect signs,1
put up signs,erecting signs,1
put up signs,use tools to put up signs,1
put up signs,sign up mail,0
apply foreign languages in social services,communicate in foreign languages in social services,1
apply foreign languages in social services,apply a foreign language in social services,1
apply foreign languages in social services,apply foreign languages in social service,1
apply foreign languages in social services,talk to social service users in foreign language,1
apply foreign languages in social services,apply foreign languages in social services environment,1
apply foreign languages in social services,apply foreign languages in tourism,0
apply foreign languages in social services,applied foreign languages in tourism,0
instruct on animal care,provide animal care instruction,1
instruct on animal care,instruct on caring for animals,1
instruct on animal care,advise on animal care,1
instruct on animal care,provide training on animal care,1
instruct on animal care,instructing on animal care,1
instruct on animal care,instruct animal owners,0
instruct on animal care,instruct animals,0
precision measuring instruments,instrument for precision manufacturing,1
precision measuring instruments,types of precision measuring instrument,1
precision measuring instruments,kinds of precision manufacturing instrument,1
precision measuring instruments,range of precision manufacturing instruments,1
precision measuring instruments,types of precision manufacturing instrument,1
precision measuring instruments,instrument for precision measuring,1
precision measuring instruments,range of precision measuring instruments,1
precision measuring instruments,kinds of precision measuring instrument,1
precision measuring instruments,instrument for precision measurement,1
operate perforating machine,control perforating machine,1
operate perforating machine,handle perforating machine,1
operate perforating machine,operating perforating machine,1
operate perforating machine,run perforating machine,1
operate perforating machine,operate perforating machines,1
operate perforating machine,use perforating machine,1
operate perforating machine,activate perforating machine,1
operate perforating machine,use person-centred care,0
supervise medical office support workers,oversee medical office support workers,1
supervise medical office support workers,supervise medical office administration employees,1
supervise medical office support workers,manage medical office support workers,1
supervise medical office support workers,supervise medical office administration workers,1
teach languages,teaching languages,1
teach languages,educate on languages,1
teach languages,explain languages,1
teach languages,teaches languages,1
teach languages,provide instruction on languages,1
assist in planning production scheduling,assisting in planning production scheduling,1
assist in planning production scheduling,assist in plans of production scheduling,1
assist in planning production scheduling,assist production scheduling planning,1
assist in planning production scheduling,contribute to planning production scheduling,1
assist in planning production scheduling,help in planning production scheduling,1
assist in planning production scheduling,advise on psychic health,0
create advertisements,create ads,1
create advertisements,come up with advertisements,1
create advertisements,develop advertisements,1
create advertisements,creating advertisements,1
create advertisements,design advertisements,1
create advertisements,check advertisement layout,0
inspect building systems,inspect building system,1
inspect building systems,evaluate building systems,1
inspect building systems,examine building systems,1
inspect building systems,check building systems,1
inspect building systems,inspecting building systems,1
inspect building systems,assess building systems,1
inspect building systems,minimise danger by applying handbrake,0
tuning techniques,tuning skills,1
tuning techniques,tuning routines,1
tuning techniques,tuning technique,1
tuning techniques,tuning approaches,1
tuning techniques,tuning procedures,1
tuning techniques,techniques of tuning,1
tuning techniques,provide advice on animal welfare to owners,0
visual disability,visual difficulty,1
visual disability,visual impairment,1
visual disability,visual deficiency,1
visual disability,visual delay,1
visual disability,visual disabilities,1
dust usage for forging,use of grime and powder for assembly process,1
dust usage for forging,use of grime and powder for tooling process,1
dust usage for forging,dust usage for fabrication process,1
dust usage for forging,use of grime and powder for fabrication process,1
dust usage for forging,dust usage for assembly process,1
dust usage for forging,use of grime and powder for casting process,1
dust usage for forging,dust usage for tooling process,1
dust usage for forging,dust usage for casting process,1
manage forest fires,forest fires preventing,1
manage forest fires,forest fire managing,1
manage forest fires,prevent forest fires,1
manage forest fires,managing forest fires,1
manage forest fires,forest fires managing,1
manage forest fires,forest fire preventing,1
manage forest fires,preventing forest fires,1
furniture trends,furniture directions,1
furniture trends,furniture trend,1
furniture trends,furniture leanings,1
furniture trends,furniture drifts,1
furniture trends,furniture movements,1
furniture trends,furnishing trends,1
blow moulding machine parts,mould,1
blow moulding machine parts,components of blow moulding machine,1
blow moulding machine parts,die head,1
blow moulding machine parts,blow moulding machine components,1
blow moulding machine parts,hopper,1
blow moulding machine parts,mold,1
blow moulding machine parts,extruder,1
blow moulding machine parts,parts of blow moulding machine,1
blow moulding machine parts,elements of blow moulding machine,1
blow moulding machine parts,develop betting games,0
operate railway warning systems,maintain and use railway warning systems,1
operate railway warning systems,operate and maintain rail warning systems,1
operate railway warning systems,operate and maintain railway warning systems,1
operate railway warning systems,ensure railway safety through operation of warning systems,1
operate railway warning systems,carry out railway warning system activities,1
operate railway warning systems,operate rail warning systems,1
operate railway warning systems,operate railroad warning systems,1
operate railway warning systems,ensure operation of railway warning systems,1
operate railway warning systems,operate and maintain railroad warning systems,1
operate railway warning systems,perform railway warning system operations,1
operate railway warning systems,conduct railway warning system operations,1
operate railway warning systems,operate railway signalling systems,0
operate railway warning systems,saw gem stones,0
operate railway warning systems,record work with service users,0
work with playwrights,,1
prepare inventory of properties,prepare property inventory,1
prepare inventory of properties,prepare property index,1
prepare inventory of properties,prepare property backlog,1
conform to alcohol regulations,conform with alcohol legal standards and specifications,1
conform to alcohol regulations,conform to alcohol legal standards and specifications,1
conform to alcohol regulations,conforming with alcohol regulations,1
conform to alcohol regulations,conforming with alcohol legal standards and specifications,1
conform to alcohol regulations,conform with alcohol regulations,1
conform to alcohol regulations,conforming to alcohol legal standards and specifications,1
conform to alcohol regulations,alcohol regulations conforming,1
conform to alcohol regulations,conforming to alcohol regulations,1
conform to alcohol regulations,conform with building regulations,0
conform to alcohol regulations,amass licence fees,0
conform to alcohol regulations,counsel on end-of-life options,0
monitor production developments,production development monitoring,1
monitor production developments,monitoring of production and development,1
monitor production developments,monitoring of production developments,1
monitor production developments,monitor production costs,1
monitor production developments,production and costs monitoring,1
monitor production developments,monitoring production and costs,1
monitor production developments,monitoring production costs,1
monitor production developments,monitor production and costs,1
monitor production developments,production and development monitoring,1
monitor production developments,monitoring production developments,1
monitor production developments,monitor policies development,0
write russian,writing Russian,1
write russian,show competency in written Russian,1
write russian,correspond in written Russian,1
manage train working timetable,oversee working timetable of train,1
manage train working timetable,manage working timetable of train,1
manage train working timetable,ensure train operations run according to working timetable,1
manage train working timetable,perform train working timetable management activities,1
manage train working timetable,ensure train operates in accordance with working timetable,1
manage train working timetable,oversee train working timetable,1
manage train working timetable,ensure train operates according to working timetable,1
manage train working timetable,manage train working timetables,1
manage train working timetable,supervise train working timetable,1
manage train working timetable,carry out train working timetable management activities,1
manage train working timetable,supervise working timetable of train,1
manage train working timetable,interpret spoken Macedonian,0
build community relations,construct community relations,1
build community relations,community relations building,1
build community relations,produce community relations,1
build community relations,set up community relations,1
build community relations,build a community relationship,1
build community relations,devise community relations,1
build community relations,building community relations,1
build community relations,assemble community relations,1
build community relations,build collective relations,0
build community relations,complete building regulations,0
manage inventory of camping supplies,carry out stock-take of camping provisions,1
manage inventory of camping supplies,manage supplies' inventory during camping,1
manage inventory of camping supplies,manage camping supplies' inventory,1
manage inventory of camping supplies,coordinate a stock-take of camping supplies,1
manage inventory of camping supplies,manage inventory of cleaning supplies,0
manage inventory of camping supplies,maintain inventory of cleaning supplies,0
manage inventory of camping supplies,assessing groundwater environmental impact,0
analyse foreign affairs policies,scrutinise foreign affairs policies,1
analyse foreign affairs policies,scrutinise overseas affairs policies,1
analyse foreign affairs policies,investigate foreign affairs policies,1
analyse foreign affairs policies,test foreign affairs policies,1
analyse foreign affairs policies,test overseas affairs policies,1
analyse foreign affairs policies,investigate overseas affairs policies,1
analyse foreign affairs policies,advise foreign affairs policies,0
analyse foreign affairs policies,suggest foreign affairs policies,0
manage drilling contracts,management of drilling contracts,1
manage drilling contracts,drilling contracts management,1
manage drilling contracts,drilling and service contracts management,1
manage drilling contracts,drilling and service contract management,1
manage drilling contracts,management of drilling contract,1
manage drilling contracts,managing of drilling contracts,1
manage drilling contracts,managing of drilling contract,1
manage drilling contracts,management of drilling and service contracts,1
manage drilling contracts,management of drilling and service contract,1
manage drilling contracts,managing drilling and service contracts,1
manage drilling contracts,managing drilling contracts,1
manage drilling contracts,manage drilling and service contract,1
manage drilling contracts,managing drilling contract,1
manage drilling contracts,managing drilling and service contract,1
manage drilling contracts,manage drilling contract,1
manage drilling contracts,manage drilling and service contracts,1
manage drilling contracts,managing of drilling and service contract,1
manage drilling contracts,drilling contract management,1
manage drilling contracts,managing of drilling and service contracts,1
manage drilling contracts,control drilling machine,0
promote sustainability,encourage sustainability,1
promote sustainability,promoting sustainability,1
promote sustainability,advocate sustainability,1
install electric switches,wire up switch,1
install electric switches,wiring of switch,1
install electric switches,install electric switch,1
install electric switches,installing electric switches,1
install electric switches,installation of electric switches,1
install electric switches,wire switch,1
install electric switches,electric switch installation,1
install electric switches,install electricity sockets,0
facilitate motor skill activities,support motor skill activities,1
facilitate motor skill activities,facilitating motor skill activities,1
facilitate motor skill activities,encourage motor skill activities,1
facilitate motor skill activities,facilitate motor skill activity,1
facilitate motor skill activities,facilitates motor skill activities,1
facilitate motor skill activities,assist motor skill activities,1
facilitate motor skill activities,dock ships,0
facilitate motor skill activities,communicate with senior colleagues,0
operate garment manufacturing machines,operate clothing manufacturing machinery,1
operate garment manufacturing machines,tend wearing apparel manufacturing machines,1
operate garment manufacturing machines,tend wearing apparel manufacturing machinery,1
operate garment manufacturing machines,operate clothing manufacturing machines,1
operate garment manufacturing machines,operate wearing apparel manufacturing machines,1
operate garment manufacturing machines,operate wearing apparel manufacturing machinery,1
operate garment manufacturing machines,tend clothing manufacturing machinery,1
operate garment manufacturing machines,operate garment manufacturing machinery,1
operate garment manufacturing machines,tend clothing manufacturing machines,1
operate garment manufacturing machines,tend garment manufacturing machinery,1
operate garment manufacturing machines,manufacturing of garments,0
recommend orthotic devices,suggest orthotic device,1
recommend orthotic devices,propose orthotic devices,1
recommend orthotic devices,give advice for orthodic devices,1
recommend orthotic devices,advise orthotic devices,1
recommend orthotic devices,propose orthotic device,1
recommend orthotic devices,recommend devices to relieve feet pain,1
recommend orthotic devices,suggest orthotic devices,1
recommend orthotic devices,test prosthetic-orthotic devices,0
recommend orthotic devices,testing methods for medical devices,0
recommend orthotic devices,degauss watches,0
develop international cooperation strategies,commence international cooperation strategies,1
develop international cooperation strategies,expand multi national cooperation strategies,1
develop international cooperation strategies,commence multi national cooperation strategies,1
develop international cooperation strategies,establish international cooperation strategies,1
develop international cooperation strategies,expand international cooperation strategies,1
develop international cooperation strategies,establish multi national cooperation strategies,1
free fatty acid elimination processes,free fatty acid elimination  measures,1
free fatty acid elimination processes,free fatty acid elimination  procedures,1
free fatty acid elimination processes,free a fatty acid elimination process,1
free fatty acid elimination processes,free fatty acid elimination  mechanisms,1
free fatty acid elimination processes,free fatty acid elimination process,1
free fatty acid elimination processes,free fatty acid elimination  systems,1
maintain updated professional knowledge,participate in professional development activities,1
maintain updated professional knowledge,perform activities to ensure professional knowledge remains up to date,1
maintain updated professional knowledge,carry out activities to ensure that professional knowledge remains up to date,1
maintain updated professional knowledge,continuously refresh professional knowledge,1
maintain updated professional knowledge,keep professional knowledge updated,1
maintain updated professional knowledge,preserve updated professional knowledge,1
maintain updated professional knowledge,maintain professional knowledge,1
maintain updated professional knowledge,ensure updated professional knowledge,1
maintain updated professional knowledge,actively refresh professional knowledge,1
maintain updated professional knowledge,retain updated professional knowledge,1
maintain updated professional knowledge,undertake professional development,1
maintain updated professional knowledge,maintain professional records,0
maintain updated professional knowledge,maintain reports professionally,0
maintain updated professional knowledge,produce and maintain professional records,0
maintain updated professional knowledge,assess yarn length and mass,0
green space strategies,range of parkland strategies,1
green space strategies,content of green space strategies,1
green space strategies,content of parkland strategies,1
green space strategies,scope of parkland strategies,1
green space strategies,scope of green space strategies,1
green space strategies,range of green space strategies,1
ensure adequate conditions in wine cellars,assure adequate conditions in wine cellars,1
ensure adequate conditions in wine cellars,ensure adequate conditions in a wine cellar,1
ensure adequate conditions in wine cellars,ensure the adequacy of conditions in wine cellars,1
ensure adequate conditions in wine cellars,ensuring adequate conditions in wine cellars,1
ensure adequate conditions in wine cellars,establish adequate conditions in wine cellars,1
ensure adequate conditions in wine cellars,maintain adequate conditions in wine cellars,1
ensure adequate conditions in wine cellars,secure adequate conditions in wine cellars,1
prepare dairy products for use in a dish,prepare and use dairy products in a dish,1
prepare dairy products for use in a dish,utilise dairy products in recipes,1
prepare dairy products for use in a dish,prepare dishes with dairy products,1
prepare dairy products for use in a dish,use  dairy items for meals,1
prepare dairy products for use in a dish,manufacture visual displays,0
match venues with performers,match performers and venues,1
match venues with performers,combine performers with venues,1
match venues with performers,match performers with venues,1
match venues with performers,ensure a venue is suitable for performers,1
match venues with performers,match vehicles with routes,0
match venues with performers,provide performers with feedback,0
colour grade images with digital intermediate,colour grade images with D.I.,1
colour grade images with digital intermediate,colour grade images with DI,1
develop ict workflow,,1
develop ict workflow,develop pro network,0
coordinate technological activities,,1
install irrigation systems,irrigation systems configuring,1
install irrigation systems,configure systems of irrigation,1
install irrigation systems,install systems of irrigation,1
install irrigation systems,installing irrigation systems,1
install irrigation systems,irrigation systems installing,1
install irrigation systems,configure irrigation systems,1
install irrigation systems,configuring systems of irrigation,1
install irrigation systems,installing systems of irrigation,1
install irrigation systems,configuring irrigation systems,1
install irrigation systems,direct military troops,0
advise customers on eyewear maintenance,advise customers on maintenance of eyewear,1
advise customers on eyewear maintenance,provide customers with advice on maintenance of eyewear,1
advise customers on eyewear maintenance,advise customer on eyewear maintenance,1
advise customers on eyewear maintenance,advise a customer on eyewear maintenance,1
advise customers on eyewear maintenance,advise customers on maintenance of glasses and contact lenses,1
advise customers on eyewear maintenance,advise customers on maintenance of corrective or protective devices for the eyes,1
advise customers on eyewear maintenance,give advice to customers on eyewear maintenance,1
advise customers on eyewear maintenance,advise customers on leather footwear maintenance,0
advise customers on eyewear maintenance,advise a customer on leather footwear maintenance,0
advise customers on eyewear maintenance,advising customers on leather footwear maintenance,0
compass navigation,compass triangulation,1
compass navigation,compass route-finding,1
compass navigation,compass reading,1
compass navigation,navigation with compass,1
perform fast changeover,performing fast changeovers,1
perform fast changeover,change costume quickly,1
perform fast changeover,change costumes fast,1
perform fast changeover,perform changeover fast,1
carry out naming strategies,oversee naming strategies,1
carry out naming strategies,carry out a naming strategy,1
carry out naming strategies,carrying out a naming strategy,1
carry out naming strategies,carrying out naming strategies,1
carry out naming strategies,make naming strategies,1
carry out naming strategies,undertake naming strategies,1
carry out naming strategies,complete naming strategies,1
carry out naming strategies,carrying out strategic research,0
carry out naming strategies,law making strategies,0
write limburgish,writing Limburgish,1
write limburgish,write Limburgian,1
write limburgish,correspond in written Limburgish,1
write limburgish,show competency in written Limburgish,1
write limburgish,write Limburgic,1
write limburgish,manage the facilities services budget,0
operate signal generator,microwave signal generator operating,1
operate signal generator,function generator operating,1
operate signal generator,pitch generator operating,1
operate signal generator,tone generator operating,1
operate signal generator,arbitrary waveform generator operating,1
operate signal generator,RF signal generator operating,1
operate signal generator,frequency generator operating,1
operate signal generator,digital pattern generator operating,1
operate signal generator,operate waste incinerator,0
operate signal generator,operate signalling equipment,0
conduct interview in social service,conduct interviews in social services,1
conduct interview in social service,interview social service users,1
conduct interview in social service,conduct interviews with social service users,1
conduct interview in social service,conduct social services interview,1
conduct interview in social service,conduct an interview in social services,1
apply health sciences,use health sciences,1
apply health sciences,implement health sciences,1
apply health sciences,apply disease sciences,1
apply health sciences,apply healthcare sciences,1
select engraving templates,choose engraving tools,1
select engraving templates,select template to engrave,1
select engraving templates,select templates for engraving,1
select engraving templates,choose engraving machine template,1
select engraving templates,types of engraving needles,0
select engraving templates,operate engraving equipment,0
interpret technical requirements,interpret technical requirement,1
interpret technical requirements,decipher technical requirements,1
interpret technical requirements,solve technical requirements,1
interpret technical requirements,interpreting technical requirements,1
interpret technical requirements,explain technical requirements,1
interpret technical requirements,clarify technical requirements,1
interpret technical requirements,interpretation of technical requirements,1
interpret technical requirements,positioning of spuds,0
mechanical components of vehicles,components used in vehicle mechanical systems,1
mechanical components of vehicles,mechanical parts of vehicles,1
mechanical components of vehicles,mechanical vehicle parts,1
mechanical components of vehicles,mechanical parts used in vehicles,1
mechanical components of vehicles,mechanical components used in vehicles,1
mechanical components of vehicles,parts used in vehicle mechanical systems,1
mechanical components of vehicles,mechanical vehicle components,1
mechanical components of vehicles,use technique to increase patients' motivation,0
demonstrate musicianship,demonstrate technical proficiency on a principal instrument or voice,1
demonstrate musicianship,show musicianship,1
demonstrate musicianship,prove musicianship,1
demonstrate musicianship,airport safety regulations,0
carry out auditions,carrying out auditions,1
carry out auditions,carry out audition,1
carry out auditions,organise auditions,1
carry out auditions,hold auditions,1
carry out auditions,arrange auditions,1
carry out auditions,food preparation overseeing,0
cultivate plankton production,grow plankton,1
cultivate plankton production,produce plankton,1
cultivate plankton production,growing plankton,1
cultivate plankton production,plankton production cultivating,1
cultivate plankton production,producing plankton,1
cultivate plankton production,cultivating plankton production,1
cultivate plankton production,look after dairy processing machines,0
interpret religious texts,explain religious texts,1
interpret religious texts,explain religious teachings,1
interpret religious texts,clarify religious teachings,1
interpret religious texts,clarify religious texts,1
interpret religious texts,decipher religious teachings,1
interpret religious texts,translate religious texts,1
interpret religious texts,translate religious teachings,1
interpret religious texts,decipher religious texts,1
interpret religious texts,perform religious rites,0
monitor concrete curing process,monitoring setting concrete,1
monitor concrete curing process,monitor concrete setting,1
monitor concrete curing process,monitor the concrete curing process,1
monitor concrete curing process,monitoring concrete curing process,1
monitor concrete curing process,monitoring of concrete curing process,1
monitor concrete curing process,monitoring concrete setting,1
monitor concrete curing process,concrete curing process monitoring,1
monitor concrete curing process,monitoring the concrete curing process,1
monitor concrete curing process,monitoring of concrete setting,1
store archival objects,store objects,1
store archival objects,storing archival objects,1
store archival objects,preserve archival objects,1
store archival objects,store and archive objects,1
encourage healthcare user's self-monitoring,encourage healthcare users' self-monitoring,1
encourage healthcare user's self-monitoring,promote health care user's self-monitoring,1
encourage healthcare user's self-monitoring,encourage health care users' self-monitoring,1
encourage healthcare user's self-monitoring,encourage health care users' self monitoring,1
encourage healthcare user's self-monitoring,assist healthcare user in self-monitoring,1
encourage healthcare user's self-monitoring,promote healthcare user's self monitoring,1
encourage healthcare user's self-monitoring,educate healthcare users on nutrition,0
encourage healthcare user's self-monitoring,design  food production plan,0
analyse economic trends,investigate economic trends,1
analyse economic trends,investigate economic movements,1
analyse economic trends,test economic trends,1
analyse economic trends,scrutinise economic trends,1
analyse economic trends,assess economic trends,1
analyse economic trends,test economic movements,1
analyse economic trends,scrutinise economic movements,1
analyse economic trends,assess economic movements,1
set up lathe compound,build lathe compound,1
set up lathe compound,create mill location,1
set up lathe compound,establish mill location,1
set up lathe compound,establish lathe compound,1
set up lathe compound,construct mill location,1
set up lathe compound,build mill location,1
set up lathe compound,construct lathe compound,1
set up lathe compound,create lathe compound,1
set up lathe compound,set up community relations,0
medication classification,medication categorisation,1
medication classification,medicines classification,1
medication classification,medical drugs classification,1
medication classification,watch metal polishing machine,0
medication classification,regulate vehicle services' financial resources,0
manage yield,implement principles of yield management,1
manage yield,develop yield,1
manage yield,implement yield management principles,1
manage yield,conduct yield management,1
manage yield,apply yield management,1
manage yield,carry out activities to maximise yield,1
manage yield,oversee yield,1
manage yield,maximise yield,1
manage yield,supervise yield,1
manage yield,increase yield,1
manage yield,perform yield management,1
manage yield,representing clients in courts,0
manage yield,embargo statutes,0
monitor well operations,well operations daily monitoring,1
monitor well operations,well operations monitoring,1
monitor well operations,well operations progress checking,1
monitor well operations,checking of progress of well operations,1
monitor well operations,monitoring well operations,1
monitor well operations,monitoring of well operations,1
monitor well operations,daily monitoring of well operations,1
monitor well operations,daily well operations monitoring,1
monitor well operations,check progress of well operations,1
monitor well operations,progress checking in well operations,1
monitor well operations,checking progress of well operations,1
follow detailed procedures for relocating specific goods,follow detailed processes for relocating specific goods,1
follow detailed procedures for relocating specific goods,implement detailed procedures for relocating specific goods,1
follow detailed procedures for relocating specific goods,observe specific procedures in the moving of particular goods,1
follow detailed procedures for relocating specific goods,adhere to detailed procedures for relocating specific goods,1
follow detailed procedures for relocating specific goods,employ specific procedures in the moving of particular goods,1
follow detailed procedures for relocating specific goods,employ specific procedures when relocating particular goods,1
follow detailed procedures for relocating specific goods,adhere to specific processes for relocating specific goods,1
follow detailed procedures for relocating specific goods,implement specialist moving procedures for specific goods,1
follow detailed procedures for relocating specific goods,comply with detailed relocation procedures in the movement of specific goods,1
follow detailed procedures for relocating specific goods,execute detailed procedures for relocating specific goods,1
follow detailed procedures for relocating specific goods,employ specialist relocation procedures for specific goods,1
write marathi,show competency in written Marathi,1
write marathi,writing Marathi,1
write marathi,correspond in written Marathi,1
write marathi,write gujarati,0
write marathi,organise facility for office personnel,0
tend thread rolling machine,watch over automatic threading machinery,1
tend thread rolling machine,monitor thread rolling machine,1
tend thread rolling machine,monitor automatic threading machinery,1
tend thread rolling machine,guard automatic threading machinery,1
tend thread rolling machine,oversee automatic threading machinery,1
tend thread rolling machine,guard thread rolling machine,1
tend thread rolling machine,watch over thread rolling machine,1
tend thread rolling machine,oversee thread rolling machine,1
stand high temperatures,continue high temperatures,1
stand high temperatures,hold high temperatures,1
stand high temperatures,maintain high temperatures,1
stand high temperatures,standing high temperatures,1
stand high temperatures,stand a high temperatures,1
stand high temperatures,keep high temperatures,1
stand high temperatures,stand of high temperatures,1
stand high temperatures,jackhammer operating,0
lead a team in forestry services,direct a service team in forestry,1
lead a team in forestry services,leading a service team in forestry,1
lead a team in forestry services,direct a team in forestry services,1
lead a team in forestry services,directing a forestry services team,1
lead a team in forestry services,directing a team in forestry services,1
lead a team in forestry services,directing a service team in forestry,1
lead a team in forestry services,leading a team in forestry services,1
lead a team in forestry services,leading a forestry services team,1
lead a team in forestry services,lead a service team in forestry,1
lead a team in forestry services,ict market,0
work in a multicultural environment in health care,work in a multicultural setting in health care,1
work in a multicultural environment in health care,work in a multicultural healthcare environment,1
work in a multicultural environment in health care,interact with individuals from a variety of cultures,1
work in a multicultural environment in health care,work in a multicultural environment in healthcare,1
work in a multicultural environment in health care,work in a multicultural setting in healthcare,1
work in a multicultural environment in health care,work in multi-cultural environment in health care,1
work in a multicultural environment in health care,work in a multicultural environment in fishery,0
work in a multicultural environment in health care,working in a multicultural environment in fishery,0
work in a multicultural environment in health care,work in a multicultural fishery environment,0
work in a multicultural environment in health care,setting windows,0
execute integration testing,test interface between software components,1
synthesise financial information,combine  financial information,1
synthesise financial information,synthesise information on finances,1
synthesise financial information,synthesising financial information,1
synthesise financial information,unify financial information,1
synthesise financial information,work to deadlines,0
use logic programming,,1
implement improvement procedures in airport operations,develop processes to improve airport operations,1
implement improvement procedures in airport operations,develop procedures to improve airport operations,1
implement improvement procedures in airport operations,develop airport operations improvement programmes,1
implement improvement procedures in airport operations,carry out improvement procedures in airport operations,1
implement improvement procedures in airport operations,implement improvement processes in airport operations,1
implement improvement procedures in airport operations,create airport operations improvement processes,1
implement improvement procedures in airport operations,execute airport operations improvement procedures,1
implement improvement procedures in airport operations,execute improvement procedures in airport operations,1
implement improvement procedures in airport operations,implement airport operations improvement procedures,1
implement improvement procedures in airport operations,increase efficiency of airport procedures through development of improvement procedures,1
implement improvement procedures in airport operations,implement improvement procedures for airport operations,1
implement improvement procedures in airport operations,develop and implement procedures to improve airport operations,1
implement improvement procedures in airport operations,combine principles for training in Pilates,0
sparql,SPARQL Protocol and RDF Query Language,1
make decisions,take decisions,1
make decisions,choose,1
make decisions,make decision,1
make decisions,making decisions,1
make decisions,decide,1
make decisions,make choices,1
make decisions,undertake work in an aviation team,0
process data from railway control rooms,assess data from railway control rooms,1
process data from railway control rooms,utilise data from railway control rooms,1
process data from railway control rooms,analyse data from railway control rooms,1
process data from railway control rooms,conduct railway control room data processing activities,1
process data from railway control rooms,evaluate data from railway control rooms,1
process data from railway control rooms,perform railway control room data processing activities,1
process data from railway control rooms,use control room data to ensure effective railway operations,1
process data from railway control rooms,process control room data to ensure effective railway operations,1
process data from railway control rooms,use control room data to inform railway operations,1
process data from railway control rooms,rejuvenate chemical processes,0
provide software testing documentation,,1
