title1,title2,similarity
food service vocational teacher,vocational college teacher,0
food service vocational teacher,vocational teacher,0
food service vocational teacher,shoemaking pre-stitching folding machine operator,0
food service vocational teacher,senior export manager in chemical products,0
food service vocational teacher,stucco supervisor,0
food service vocational teacher,local fisheries boatman,0
food service vocational teacher,web business development manager,0
butcher,butchery expert,1
butcher,animal butcher,1
butcher,butchery worker,1
butcher,butler,0
butcher,computer aided design technician,0
butcher,boatswain,0
machinery assembly supervisor,machine team leader,1
machinery assembly supervisor,machine charge hand,1
machinery assembly supervisor,lead machine operative,1
machinery assembly supervisor,leadingmachinist,1
machinery assembly supervisor,machine and assembly supervisor,0
machinery assembly supervisor,assembly line supervisor,0
machinery assembly supervisor,dividends clerk,0
machinery assembly supervisor,supports and structural calculation engineer,0
china and glassware distribution manager,assistant china and glassware distribution manager,1
china and glassware distribution manager,china and glassware logistics planner,1
china and glassware distribution manager,senior china and glassware distribution manager,1
china and glassware distribution manager,china and glassware supply chain planner,1
china and glassware distribution manager,trainee china and glassware distribution manager,1
china and glassware distribution manager,china and glassware logistics manager,1
china and glassware distribution manager,graduate china and glassware distribution manager,1
china and glassware distribution manager,china and glassware supply chain manager,1
china and glassware distribution manager,china and glassware distribution planner,1
china and glassware distribution manager,clothing and footwear distribution manager,0
china and glassware distribution manager,live animals distribution manager,0
china and glassware distribution manager,logistics and distribution manager,0
china and glassware distribution manager,distribution and logistics manager,0
china and glassware distribution manager,rotating equipment maintenance worker,0
china and glassware distribution manager,cigar brander tender,0
china and glassware distribution manager,special educational needs director,0
china and glassware distribution manager,robotic assembler,0
china and glassware distribution manager,senior wholesale merchant in textiles and textile semi-finished and raw materials,0
clothing quality inspector,clothing quality control supervisor,1
clothing quality inspector,garment quality controller,1
clothing quality inspector,clothing quality control inspector,1
clothing quality inspector,garment and textile quality controller,1
clothing quality inspector,cigar quality inspector,0
clothing quality inspector,quality inspector (cigars),0
clothing quality inspector,wire preparation weaving operative,0
clothing quality inspector,packaging manager,0
mechanical engineering drafter,machinery engineering draughtsperson,1
mechanical engineering drafter,mechanical design draughting operator,1
mechanical engineering drafter,machinery engineering drafter,1
mechanical engineering drafter,mechanical design drafting supervisor,1
mechanical engineering drafter,mechanical design drafting operative,1
mechanical engineering drafter,mechanical design drafting operator,1
mechanical engineering drafter,mechanics engineering draughter,1
mechanical engineering drafter,mechanical technology drafting adviser,1
mechanical engineering drafter,mechanical technology drafting consultant,1
mechanical engineering drafter,mechanical design drafter,1
mechanical engineering drafter,mechanical technology drafting expert,1
mechanical engineering drafter,mechanical technology drafter,1
mechanical engineering drafter,mechanical draughtsperson,1
mechanical engineering drafter,mechanical design draughter,1
mechanical engineering drafter,mechanical draftsperson,1
mechanical engineering drafter,mechanical drafting expert,1
mechanical engineering drafter,mechanics engineering draughtsperson,1
mechanical engineering drafter,mechanical drafting consultant,1
mechanical engineering drafter,mechanical design draughting operative,1
mechanical engineering drafter,mechanical technology drafting specialist,1
mechanical engineering drafter,mechanical engineering drafting apprentice,1
mechanical engineering drafter,mechanical design draughting supervisor,1
mechanical engineering drafter,mechanical drafting specialist,1
mechanical engineering drafter,mechanical draughter,1
mechanical engineering drafter,mechanics engineering draftsperson,1
mechanical engineering drafter,mechanical drafting adviser,1
mechanical engineering drafter,mechanical design drafting inspector,1
mechanical engineering drafter,machinery engineering draftsperson,1
mechanical engineering drafter,mechanical design draughting inspector,1
mechanical engineering drafter,mechanical design drafting engineer,1
mechanical engineering drafter,machinery engineering draughter,1
mechanical engineering drafter,mechanical engineering draughting apprentice,1
mechanical engineering drafter,mechanical design draughting engineer,1
mechanical engineering drafter,mechanical engineering adviser,0
mechanical engineering drafter,naval engineering drafter,0
mechanical engineering drafter,motor vehicle engineering drafter,0
mechanical engineering drafter,marine engineering drafter,0
mechanical engineering drafter,optomechanical engineering adviser,0
mechanical engineering drafter,mechanical engineering consultant,0
mechanical engineering drafter,aircraft engineering technician,0
mechanical engineering drafter,car engineering technician,0
mechanical engineering drafter,mechanical engineer,0
mechanical engineering drafter,engineering technical apprentice,0
mechanical engineering drafter,electro mechanical engineer,0
mechanical engineering drafter,electro-mechanical engineer,0
mechanical engineering drafter,boat engineering technician,0
mechanical engineering drafter,mechanicals engineer,0
mechanical engineering drafter,optomechanical engineering assistant,0
mechanical engineering drafter,engineer in optomechanical design,0
mechanical engineering drafter,dairy plant worker,0
mechanical engineering drafter,corporate training specialist,0
mechanical engineering drafter,trainee export manager in clothing and footwear,0
mechanical engineering drafter,"graduate wholesale merchant in coffee, tea, cocoa and spices",0
mechanical engineering drafter,airport operations coordinator,0
mechanical engineering drafter,fluid power maintenance supervisor,0
mechanical engineering drafter,job creation advisor,0
mechanical engineering drafter,fire inspection testing technology specialist,0
mechanical engineering drafter,professional hockey player,0
mechanical engineering drafter,nitroglycerin separator operator,0
mechanical engineering drafter,deputy stage manager,0
mechanical engineering drafter,enforcement agent,0
mechanical engineering drafter,after-sales team member,0
mechanical engineering drafter,expert in biomedical science,0
mechanical engineering drafter,HR director,0
mechanical engineering drafter,industrial property lawyer,0
mechanical engineering drafter,fire academy instructor,0
competition policy officer,competition policy manager,1
competition policy officer,civil servant,1
competition policy officer,consumer protection officer,1
competition policy officer,policy manager for competition,1
competition policy officer,policy manager,1
competition policy officer,entrepreneurship policy officer,1
competition policy officer,immigration policy officer,0
competition policy officer,"policy officer, education",0
competition policy officer,education policy officer,0
competition policy officer,welding control inspector,0
competition policy officer,primary school SEN teacher,0
competition policy officer,data storage analyst,0
car leasing agent,car leasing team leader,1
car leasing agent,vehicle leasing sales agent,1
car leasing agent,assistant car leasing agent,1
car leasing agent,car leasing office worker,1
car leasing agent,automobile leasing representative,1
car leasing agent,vehicle fleet leasing consultant,1
car leasing agent,car leasing office manager,1
car leasing agent,car leasing team worker,1
car leasing agent,vehicle fleet leasing agent,1
car leasing agent,trainee car leasing agent,1
car leasing agent,graduate car leasing agent,1
car leasing agent,fleet leasing agent,1
car leasing agent,automobile leasing agent,1
car leasing agent,vehicle leasing consultant,1
car leasing agent,senior car leasing agent,1
car leasing agent,fleet leasing consultant,1
car leasing agent,leasing agent,0
car leasing agent,leasing agents,0
car leasing agent,clearing agent,0
car leasing agent,closing agent,0
car leasing agent,letting agent,0
car leasing agent,purchasing agent,0
car leasing agent,law signing agent,0
car leasing agent,online chat agent,0
car leasing agent,steam refrigeration operator,0
car leasing agent,battery diagnostic test technician,0
car leasing agent,fiberglass pipe winding operator,0
car leasing agent,colourist,0
car leasing agent,digital print operator,0
car leasing agent,court sign language interpreter,0
car leasing agent,cosmetics formulator,0
car leasing agent,laser cutting machine worker,0
marine surveyor,marine warranty surveyor,1
marine surveyor,yacht and small craft surveyor,1
marine surveyor,maritime ship inspector,1
marine surveyor,hull and machinery surveyor,1
marine surveyor,marine surveyors,1
marine surveyor,cargo surveyor,1
marine surveyor,inland water ship inspector,1
marine surveyor,inland waterway vessel inspector,1
marine surveyor,mine surveyor,0
marine surveyor,mine surveyors,0
marine surveyor,mining surveyor,0
marine surveyor,land surveyor,0
marine surveyor,aquaculture biology scientist,0
marine surveyor,financial support coordinator,0
marine surveyor,trainee export manager in office machinery and equipment,0
marine surveyor,machine assembly worker,0
police detective,detective inspector,1
police detective,detective superintendent,1
police detective,chief detective,1
police detective,detective constable,1
police detective,private detective,0
police detective,store detective,0
police detective,tattoo drawer,0
police detective,books and stationery specialised seller,0
sport official,arbitrator,1
sport official,assistant referee,1
sport official,judge,1
sport official,commissaire,1
sport official,on-ice official,1
sport official,umpire,1
sport official,technical official,1
sport official,linesman,1
sport official,off-court official,1
sport official,on-court official,1
sport official,on-the-water official,1
sport official,plate umpire,1
sport official,arbiter,1
sport official,touch judge,1
sport official,match referee,1
sport official,basketball crew chief,1
sport official,field umpire,1
sport official,referee,1
sport official,timekeeper,1
sport official,official vet,0
sport official,passport officer,0
sport official,official court reporter,0
sport official,sports policy officer,0
sport official,sports association official,0
sport official,pastoral support officer,0
sport official,pilot officer,0
sport official,sport governing body official,0
sport official,office supervisor,0
sport official,cultural facilities program coordinator,0
sport official,canning and bottling operative,0
sport official,paint production worker,0
sport official,coordinator of hospital waiting lists,0
sport official,trader (wholesale),0
sport official,director of road transport,0
sport official,garden store manager,0
sport official,audio mastering operator,0
sport official,freight driver,0
sport official,earth science teacher,0
computer hardware engineering technician,computer hardware technician,1
computer hardware engineering technician,technician in IT hardware,1
computer hardware engineering technician,technician in computer hardware,1
computer hardware engineering technician,technician in computer hardware engineering,1
computer hardware engineering technician,computer engineering technician,1
computer hardware engineering technician,PC hardware technician,1
computer hardware engineering technician,IT engineering technician,1
computer hardware engineering technician,IT hardware engineering technician,1
computer hardware engineering technician,PC hardware engineering technician,1
computer hardware engineering technician,computer hardware engineering specialist,0
computer hardware engineering technician,engineer in computer hardware,0
computer hardware engineering technician,computer hardware technology engineer,0
computer hardware engineering technician,computer hardware technology engineering expert,0
computer hardware engineering technician,energy specialist for mining,0
computer hardware engineering technician,optical disc moulding machine technician,0
computer hardware engineering technician,glass annealing kiln operative,0
computer hardware engineering technician,garden centre salesperson,0
computer hardware engineering technician,indoor cycling instructor,0
investment adviser,investment manager,1
investment adviser,investment executive,1
investment adviser,investment consultant,1
investment adviser,investment advisor,1
investment adviser,investing director,1
investment adviser,RIA,1
investment adviser,corporate investment adviser,1
investment adviser,financial and investment adviser,1
investment adviser,investment fund adviser,0
investment adviser,investment fund advisor,0
investment adviser,investment banker,0
investment adviser,investment dealer,0
investment adviser,assistant import specialist in machine tools,0
investment adviser,milk worker,0
investment adviser,veterinary microbiologist,0
investment adviser,commercial writer,0
amusement park cleaner,amusement park janitor,1
amusement park cleaner,cleaners,1
amusement park cleaner,cleaning worker,1
amusement park cleaner,janitorial worker,1
amusement park cleaner,premises maintenance worker,1
amusement park cleaner,amusement park manager,0
amusement park cleaner,amusement centre worker,0
amusement park cleaner,car driving instructor,0
amusement park cleaner,water jet operator,0
amusement park cleaner,photonics engineering consultant,0
rental service representative,rental service team leader,1
rental service representative,rental sales desk agent,1
rental service representative,rental service desk agent,1
rental service representative,rental service desk clerk,1
rental service representative,rental sales desk clerk,1
rental service representative,rental service worker,1
rental service representative,rental sales assistant,1
rental service representative,rental sales desk supervisor,1
rental service representative,rental specialist,1
rental service representative,rental service assistant,1
rental service representative,rental service desk supervisor,1
rental service representative,rental sales manager,1
rental service representative,rental sales worker,1
rental service representative,rental advisor,1
rental service representative,rental service supervisor,1
rental service representative,rental sales team leader,1
rental service representative,rental sales supervisor,1
rental service representative,rental service manager,1
rental service representative,client service representative,0
rental service representative,client services representative,0
rental service representative,rental service representative in trucks,0
rental service representative,customer service representative,0
rental service representative,market research representative,0
rental service representative,railway customer service representative,0
rental service representative,railway ticket sales representative,0
rental service representative,ship local representative,0
rental service representative,medical sales representative,0
rental service representative,assistant promoter,0
rental service representative,fish cage mooring worker,0
rental service representative,product assembler,0
rental service representative,general bookkeeper,0
rental service representative,vegetable specialised seller,0
rental service representative,director's right-hand man,0
rental service representative,footwear clicker,0
rental service representative,nuclear technician,0
rental service representative,lacquer spray machine technician,0
economic policy officer,"policy officer, economics",1
economic policy officer,economical policy officer,1
economic policy officer,finance policy officer,1
economic policy officer,economic policy advisor,1
economic policy officer,economic policy specialist,1
economic policy officer,economic policy researcher,1
economic policy officer,policy officer for economy,1
economic policy officer,economic policy analyst,1
economic policy officer,"policy officer, education",0
economic policy officer,education policy officer,0
economic policy officer,competition policy officer,0
economic policy officer,policy officer for education,0
economic policy officer,aquarium managing director,0
economic policy officer,AI system designer,0
economic policy officer,prepress specialist,0
economic policy officer,management consultant,0
sport therapist,sport and exercise therapist,1
sport therapist,exercise consultant,1
sport therapist,exercise therapist,1
sport therapist,health exercise specialist,1
sport therapist,sport & exercise therapist,1
sport therapist,exercise specialist,1
sport therapist,art therapist,0
sport therapist,salon therapist,0
sport therapist,TCM therapist,0
sport therapist,building materials engineering expert,0
sport therapist,senior specialised seller,0
sport therapist,sewerage inspector,0
forwarding manager,freight forwarding manager,1
forwarding manager,logistics line manager,1
forwarding manager,"freight forwarding, head",1
forwarding manager,forwarding supervisor,1
forwarding manager,export manager,1
forwarding manager,freight forwarding agent,1
forwarding manager,head of freight forwarding,1
forwarding manager,pet boarding manager,0
forwarding manager,brewing manager,0
forwarding manager,gaming floor manager,0
forwarding manager,press shop setter,0
forwarding manager,pulp grader,0
forwarding manager,pharmaceutical goods distribution manager,0
forwarding manager,zoology researcher,0
pet and pet food specialised seller,pet superstore specialised seller,1
pet and pet food specialised seller,animal specialised seller,1
pet and pet food specialised seller,pet food specialised seller,1
pet and pet food specialised seller,animal food specialised seller,1
pet and pet food specialised seller,pet superstore salesperson,1
pet and pet food specialised seller,animal salesperson,1
pet and pet food specialised seller,pet salesperson,1
pet and pet food specialised seller,pet and pet food salesperson,1
pet and pet food specialised seller,animal care products specialised seller,1
pet and pet food specialised seller,pet  food salesperson,1
pet and pet food specialised seller,animal food salesperson,1
pet and pet food specialised seller,pet supplies salesperson,1
pet and pet food specialised seller,animal care products salesperson,1
pet and pet food specialised seller,pet and pet food superstore salesperson,1
pet and pet food specialised seller,pet specialised seller,1
pet and pet food specialised seller,pet supplies specialised seller,1
pet and pet food specialised seller,pet and pet food superstore specialised seller,1
pet and pet food specialised seller,seafood specialised seller,0
pet and pet food specialised seller,flower and garden specialised seller,0
pet and pet food specialised seller,carpet and rug specialised seller,0
pet and pet food specialised seller,fine foods specialised seller,0
pet and pet food specialised seller,bread and pastries specialised seller,0
pet and pet food specialised seller,hardware and paint specialised seller,0
pet and pet food specialised seller,audiology centre specialised seller,0
pet and pet food specialised seller,fish and seafood specialised seller,0
pet and pet food specialised seller,hybrid engine assembler,0
pet and pet food specialised seller,aircraft maintenance coordinator,0
pet and pet food specialised seller,trainee brand manager,0
pet and pet food specialised seller,stage & lighting technician,0
pet and pet food specialised seller,quarry waste broker,0
pet and pet food specialised seller,lens mounter,0
pet and pet food specialised seller,LGV parts operative,0
pet and pet food specialised seller,electrical equipment assembler,0
pet and pet food specialised seller,social  services worker,0
attraction operator,ride leader,1
attraction operator,ride and attraction operator,1
attraction operator,fairground attraction operator,1
attraction operator,ride & attraction operator,1
attraction operator,ride supervisor,1
attraction operator,ride operator,1
attraction operator,attraction & ride operator,1
attraction operator,senior ride attendant,1
attraction operator,attraction and ride operator,1
attraction operator,attraction supervisor,1
attraction operator,carbonation operator,0
attraction operator,fabrication operator,0
attraction operator,nitrator operator,0
attraction operator,coagulation operator,0
attraction operator,germination operator,0
attraction operator,rental equipment performance engineer,0
attraction operator,enterprise development adviser,0
attraction operator,kosher meat slicer,0
attraction operator,foreclosure coordinators,0
attraction operator,wood fuel pelletiser,0
import export specialist in fruit and vegetables,graduate import specialist in fruit and vegetables,1
import export specialist in fruit and vegetables,international trade compliance specialist in fruit and vegetables,1
import export specialist in fruit and vegetables,trainee import specialist in fruit and vegetables,1
import export specialist in fruit and vegetables,trainee import export specialist in fruit and vegetables,1
import export specialist in fruit and vegetables,graduate import export specialist in fruit and vegetables,1
import export specialist in fruit and vegetables,assistant import specialist in fruit and vegetables,1
import export specialist in fruit and vegetables,senior import specialist in fruit and vegetables,1
import export specialist in fruit and vegetables,senior export specialist in fruit and vegetables,1
import export specialist in fruit and vegetables,customs compliance specialist in fruit and vegetables,1
import export specialist in fruit and vegetables,senior import export specialist in fruit and vegetables,1
import export specialist in fruit and vegetables,graduate export specialist in fruit and vegetables,1
import export specialist in fruit and vegetables,assistant export specialist in fruit and vegetables,1
import export specialist in fruit and vegetables,trainee export specialist in fruit and vegetables,1
import export specialist in fruit and vegetables,assistant import export specialist in fruit and vegetables,1
import export specialist in fruit and vegetables,import export manager in fruit and vegetables,0
import export specialist in fruit and vegetables,senior import export manager in  fruit and vegetables,0
import export specialist in fruit and vegetables,trainee import export manager in  fruit and vegetables,0
import export specialist in fruit and vegetables,graduate import export manager in  fruit and vegetables,0
import export specialist in fruit and vegetables,graduate import export specialist in waste and scrap,0
import export specialist in fruit and vegetables,assistant import export manager in  fruit and vegetables,0
import export specialist in fruit and vegetables,senior export manager in  fruit and vegetables,0
import export specialist in fruit and vegetables,court interpreter,0
import export specialist in fruit and vegetables,aquaculture harvest technician,0
import export specialist in fruit and vegetables,Cat C instructor,0
import export specialist in fruit and vegetables,interior landscapers,0
import export specialist in fruit and vegetables,flight dispatcher,0
import export specialist in fruit and vegetables,power supply engineer,0
import export specialist in fruit and vegetables,chain making machine setter,0
licensing officer,building permit licensing officer,1
licensing officer,licensing standards officer,1
licensing officer,licensing compliance officer,1
licensing officer,building authority officer,1
licensing officer,fire protection specialist,1
licensing officer,licensing examiner,1
licensing officer,fire protection licensing officer,1
licensing officer,license inspector,1
licensing officer,patents officer,1
licensing officer,technology licensing officer,1
licensing officer,restaurant licensing officer,1
licensing officer,business permit licensing officer,1
licensing officer,driver licensing officer,1
licensing officer,alcohol licensing officer,1
licensing officer,learning officer,0
licensing officer,housing officer,0
licensing officer,banking officer,0
licensing officer,accounting officer,0
licensing officer,inspection officer,0
licensing officer,forensic officer,0
licensing officer,dispatching officer,0
licensing officer,zoo curator,0
licensing officer,biomedical science specialist,0
licensing officer,zoo attendant,0
licensing officer,offset press specialist,0
licensing officer,valuer,0
licensing officer,extruder machine tender,0
licensing officer,mine safety inspector,0
occupational driving instructor,occupational driving instruction practitioner,1
occupational driving instructor,instructor in occupational driving,1
occupational driving instructor,occupational driving teacher,1
occupational driving instructor,LGV driving instructor,1
occupational driving instructor,heavy equipment operator instructor,1
occupational driving instructor,PCV driving instructor,1
occupational driving instructor,passenger carrying vehicle instructor,1
occupational driving instructor,HGV driving instructor,1
occupational driving instructor,specialist driving instructor,1
occupational driving instructor,occupational boating instructor,0
occupational driving instructor,occupational flight instructor,0
occupational driving instructor,vocational hairdressing instructor,0
occupational driving instructor,scuba diving instructor,0
occupational driving instructor,fungicide mixing machine operative,0
occupational driving instructor,marine electronic networks electrician,0
occupational driving instructor,cloakmaker,0
occupational driving instructor,incineration process operator,0
occupational driving instructor,database administrators,0
soap maker,soap boiler,1
soap maker,maker of soap,1
soap maker,soap factory operator,1
soap maker,soap and cosmetics maker,1
soap maker,artisan soap maker,1
soap maker,soapmaker,1
soap maker,map maker,0
soap maker,mop maker,0
soap maker,prop maker,0
soap maker,senior lecturer in law,0
soap maker,expert radiographer,0
soap maker,events assistant,0
community development officer,social development officer,1
community development officer,outreach support worker,1
community development officer,local community development officer,1
community development officer,community development worker,0
community development officer,audiovisual producer,0
community development officer,fish production operator,0
trolley bus driver,trolley bus operator,1
trolley bus driver,transit bus driver,1
trolley bus driver,trolleybus driver,1
trolley bus driver,trolleybus operator,1
trolley bus driver,driver of trolley buses,1
trolley bus driver,guided bus driver,1
trolley bus driver,bus operator,1
trolley bus driver,roller driver,0
trolley bus driver,driver of bus,0
trolley bus driver,intercity bus driver,0
trolley bus driver,job placement adviser,0
trolley bus driver,cutter,0
trolley bus driver,industrial tool design producer,0
trolley bus driver,wheel machinist,0
audiology equipment specialised seller,audiology salesperson,1
audiology equipment specialised seller,audiology shop salesperson,1
audiology equipment specialised seller,audiology shop specialised seller,1
audiology equipment specialised seller,audiology equipment salesperson,1
audiology equipment specialised seller,audiology specialised seller,1
audiology equipment specialised seller,audiology centre specialised seller,1
audiology equipment specialised seller,hearing help specialised seller,1
audiology equipment specialised seller,audiology centre salesperson,1
audiology equipment specialised seller,hearing help salesperson,1
audiology equipment specialised seller,hearing aid salesperson,1
audiology equipment specialised seller,hearing aid specialised seller,1
audiology equipment specialised seller,audio-visual equipment specialised seller,0
audiology equipment specialised seller,audio and video equipment specialised seller,0
audiology equipment specialised seller,building equipment shop specialised seller,0
audiology equipment specialised seller,pet food specialised seller,0
audiology equipment specialised seller,sports equipment specialised seller,0
audiology equipment specialised seller,exploration geology analyst,0
audiology equipment specialised seller,electrical systems engineer,0
audiology equipment specialised seller,pool lifeguard trainer,0
audiology equipment specialised seller,IT research advisor,0
audiology equipment specialised seller,graduate export manager in metals and metal ores,0
audiology equipment specialised seller,recreational facilities manager,0
ordinary seaman,ordinary seawoman,1
ordinary seaman,OS,1
ordinary seaman,seamanship apprentice,1
ordinary seaman,seaman recruit,1
ordinary seaman,SEN coordinator,0
ordinary seaman,malt house coordinator,0
ordinary seaman,leather goods manufacture technician,0
ordinary seaman,robotic technology engineering consultant,0
trade regional manager,area sales manager,1
trade regional manager,regional product sales manager,1
trade regional manager,regional sales and marketing manager,1
trade regional manager,regional sales manager,1
trade regional manager,assistant trade regional manager,1
trade regional manager,senior trade regional manager,1
trade regional manager,graduate trade regional manager,1
trade regional manager,store trade regional manager,1
trade regional manager,trainee trade regional manager,1
trade regional manager,regional manager,0
trade regional manager,regional service manager,0
trade regional manager,trainee rental manager,0
trade regional manager,retail store manager,0
trade regional manager,bovine health management veterinarian,0
trade regional manager,trainee import specialist in waste and scrap,0
trade regional manager,dispatcher of emergency medical vehicles,0
trade regional manager,rolling stock assembly quality inspector,0
trade regional manager,chemical engineering expert,0
glass engraver,heritage glass engraver,1
glass engraver,glass decorator,1
glass engraver,ornamental glass engraver,1
glass engraver,diamond point glass engraver,1
glass engraver,decorative glass engraver,1
glass engraver,precision engraver,1
glass engraver,precision etcher,1
glass engraver,glass etcher,1
glass engraver,glass hand etcher,1
glass engraver,laser engraver,0
glass engraver,gold engraver,0
glass engraver,glass edger,0
glass engraver,gun engraver,0
glass engraver,sophrology expert,0
glass engraver,leather pattern cutter,0
glass engraver,mine stratigrapher,0
glass engraver,live chat operator,0
glass engraver,restorers,0
social work practice educator,practice placement coordinator,1
social work practice educator,practice placement facilitator,1
social work practice educator,practice-based educator,1
social work practice educator,practice placement worker,1
social work practice educator,practice social work educator,1
social work practice educator,practice educator,1
social work practice educator,social work field instructor,1
social work practice educator,social work educator,0
social work practice educator,corporate social worker,0
social work practice educator,social worker in education,0
social work practice educator,food science lector,0
social work practice educator,materials technician,0
social work practice educator,industry social worker,0
social work practice educator,gas production technology engineer,0
plodder operator,plodding-machine operator,1
plodder operator,soap compression machine operative,1
plodder operator,plodding-machine operative,1
plodder operator,plodder operative,1
plodder operator,soap production worker,1
plodder operator,soap production operative,1
plodder operator,soap compression machine worker,1
plodder operator,soap compression machine operator,1
plodder operator,plodding-machine worker,1
plodder operator,plodding-machine minder,1
plodder operator,plodder worker,1
plodder operator,planer operator,0
plodder operator,tower operator,0
plodder operator,shredder operator,0
plodder operator,powder mill operator,0
plodder operator,power plant operator,0
plodder operator,flavourist,0
plodder operator,senior sexual health advisor,0
plodder operator,wood products engineer,0
plodder operator,truck mechanic,0
plodder operator,animal rehabilitation therapist,0
plodder operator,drying supervisor,0
automated optical inspection operator,printed circuit board assembly inspector,1
automated optical inspection operator,PCB assembly inspector,1
automated optical inspection operator,AOI operator,1
automated optical inspection operator,AOI machine operator,1
automated optical inspection operator,printed circuit board inspector,1
automated optical inspection operator,vision system operator,1
automated optical inspection operator,PCB inspector,1
automated optical inspection operator,operator of automated optical inspection equipment,1
automated optical inspection operator,automated optical inspection machines operator,1
automated optical inspection operator,stage automation operator,0
automated optical inspection operator,automated cutting system operator,0
automated optical inspection operator,automated cable vehicle operator,0
automated optical inspection operator,optical molding machine operator,0
automated optical inspection operator,lawn and garden shop manager,0
automated optical inspection operator,occupational psychologist,0
automated optical inspection operator,administrative support officer,0
automated optical inspection operator,CNC press operative,0
automated optical inspection operator,plywood quality tester,0
metal sawing machine operator,metal sawyer,1
metal sawing machine operator,metal power saw technician,1
metal sawing machine operator,machine power saw operator,1
metal sawing machine operator,metal cut-off saw trimmer,1
metal sawing machine operator,metal cut-off saw operative,1
metal sawing machine operator,metal sawing machine operative,1
metal sawing machine operator,shear saw operator,1
metal sawing machine operator,metalworking power saw operator,1
metal sawing machine operator,saw shop operator,1
metal sawing machine operator,shear operator,1
metal sawing machine operator,machine saw operator,1
metal sawing machine operator,cut-off operator,1
metal sawing machine operator,sawing machine operative,1
metal sawing machine operator,metal trimmer,1
metal sawing machine operator,saw shop worker,1
metal sawing machine operator,metal sawing machine worker,1
metal sawing machine operator,metal power saw trimmer,1
metal sawing machine operator,metal power saw operator,1
metal sawing machine operator,saw operator,1
metal sawing machine operator,metal saw operator,1
metal sawing machine operator,metal cutter,1
metal sawing machine operator,cut-off operative,1
metal sawing machine operator,metal sawing machine technician,1
metal sawing machine operator,metal cut-off saw operator,1
metal sawing machine operator,metal sawing machine operator,1
metal sawing machine operator,sawing machine operator,0
metal sawing machine operator,sewing machine operator,0
metal sawing machine operator,swaging machine operator,0
metal sawing machine operator,staking machine operator,0
metal sawing machine operator,sanding machine operator,0
metal sawing machine operator,shaving machine operator,0
metal sawing machine operator,scanning machine operator,0
metal sawing machine operator,stapling machine operator,0
metal sawing machine operator,spraying machine operator,0
metal sawing machine operator,metal band saw operator,0
metal sawing machine operator,metal working lathe operator,0
metal sawing machine operator,spring making machine operator,0
metal sawing machine operator,graduate import export specialist in electronic and telecommunications equipment,0
metal sawing machine operator,"rental sales assistant in other machinery, equipment and tangible goods",0
metal sawing machine operator,editor,0
metal sawing machine operator,education secretary,0
metal sawing machine operator,"textile machine tender, spinner",0
metal sawing machine operator,emergency response paramedic,0
metal sawing machine operator,army general,0
metal sawing machine operator,education studies instructor,0
metal sawing machine operator,ICT sysadmins,0
metal sawing machine operator,actor & puppeteer,0
metal sawing machine operator,social care assistant,0
metal sawing machine operator,furniture builder,0
metal sawing machine operator,compact crane driver,0
building materials shop manager,building materials do it yourself shop manager,1
building materials shop manager,building equipment shop manager,1
building materials shop manager,construction materials store manager,1
building materials shop manager,construction materials shop manager,1
building materials shop manager,building materials DIY store manager,1
building materials shop manager,building materials do it yourself store manager,1
building materials shop manager,builders merchants shop manager,1
building materials shop manager,builders merchants trade counter manager,1
building materials shop manager,builders merchants store manager,1
building materials shop manager,building materials DIY shop manager,1
building materials shop manager,building materials store manager,1
building materials shop manager,building materials engineer,0
building materials shop manager,artists materials shop manager,0
building materials shop manager,building rental manager,0
building materials shop manager,maternity fashion shop manager,0
building materials shop manager,building materials engineering specialist,0
building materials shop manager,computer science instructor,0
building materials shop manager,cabinet maker,0
building materials shop manager,carriage builder,0
building materials shop manager,network planner,0
building materials shop manager,railcar  assembly supervisor,0
building materials shop manager,beauty and aroma store manager,0
bicycle courier,bike messenger,1
bicycle courier,bicycle dispatch rider,1
bicycle courier,bicycle package carrier,1
bicycle courier,cycle messenger,1
bicycle courier,bike courier,1
bicycle courier,cycle courier,1
bicycle courier,bicycle letter carrier,1
bicycle courier,bicycle messenger,1
bicycle courier,bicycle builder,0
bicycle courier,bicycle fixer,0
bicycle courier,bicycle repairer,0
bicycle courier,bicycle shop worker,0
bicycle courier,rustproof machine operator,0
bicycle courier,enterprise developer,0
bicycle courier,starch converter,0
bicycle courier,motor vehicle quality compliance inspector,0
wholesale merchant,B2B sales consultant,1
wholesale merchant,wholesale merchandiser,1
wholesale merchant,assistant wholesale merchant,1
wholesale merchant,business to business seller,1
wholesale merchant,wholesaler,1
wholesale merchant,senior wholesale merchant,1
wholesale merchant,business to business sales consultant,1
wholesale merchant,wholesale trader,1
wholesale merchant,trainee wholesale merchant,1
wholesale merchant,wholesale buyer,1
wholesale merchant,graduate wholesale merchant,1
wholesale merchant,trader (wholesale),1
wholesale merchant,wholesale merchant in beverages,0
wholesale merchant,wood merchant,0
wholesale merchant,theatre mechanist,0
wholesale merchant,wholesale merchant in live animals,0
wholesale merchant,theater mechanist,0
wholesale merchant,wholesaler in beverages,0
wholesale merchant,plastic goods manufacturing supervisor,0
wholesale merchant,reciprocating filing machine setter,0
wholesale merchant,acupressure treatment specialist,0
wholesale merchant,bioengineering consultant,0
wholesale merchant,wholesale merchant in china and other glassware,0
wholesale merchant,indoor landscaper,0
